datetime,open,high,low,close,volume,end_time,adj_close,completed,bband_20_low,bband_20_low_prev,bband_20_high,bband_20_high_prev,close_prev,willr_ema,willr_ema_prev
1579154220,162.11,162.15,161.89,161.89,336.18629,1579154399999,161.89,True,160.18350417604864,160.04700004912047,162.54749582395135,162.53399995087955,162.11,-47.834856824909906,-46.635524610223065
1579154400,161.91,162.01,161.77,161.77,736.07838,1579154579999,161.77,True,160.2982586618858,160.18350417604864,162.54974133811422,162.54749582395135,161.89,-48.26944666620189,-47.834856824909906
1579154580,161.77,161.89,161.51,161.8,703.47441,1579154759999,161.8,True,160.3657282265614,160.2982586618858,162.57327177343856,162.54974133811422,161.77,-48.26944666620189,-47.834856824909906
1579154760,161.8,161.98,161.73,161.97,329.77776,1579154939999,161.97,True,160.4433273367878,160.3657282265614,162.60667266321215,162.57327177343856,161.8,-48.26944666620189,-47.834856824909906
1579154940,161.96,161.98,161.31,161.44,912.22883,1579155119999,161.44,True,160.53846377934693,160.4433273367878,162.57353622065304,162.60667266321215,161.97,-48.26944666620189,-47.834856824909906
1579155120,161.44,161.73,161.3,161.61,314.84196,1579155299999,161.61,True,160.71930898259788,160.53846377934693,162.4926910174021,162.57353622065304,161.44,-48.26944666620189,-47.834856824909906
1579155300,161.64,161.99,161.59,161.84,455.26198,1579155479999,161.84,True,160.93891162197133,160.71930898259788,162.39408837802864,162.4926910174021,161.61,-48.26944666620189,-47.834856824909906
1579155480,161.83,161.94,161.73,161.9,260.67865,1579155659999,161.9,True,161.0382534932107,160.93891162197133,162.37574650678934,162.39408837802864,161.84,-48.26944666620189,-47.834856824909906
1579155660,161.86,162.06,161.84,161.98,872.35168,1579155839999,161.98,True,161.07092105112173,161.0382534932107,162.39907894887824,162.37574650678934,161.9,-48.26944666620189,-47.834856824909906
1579155840,162.0,162.1,161.98,162.09,195.05546,1579156019999,162.09,True,161.0697900756011,161.07092105112173,162.4422099243989,162.39907894887824,161.98,-48.26944666620189,-47.834856824909906
1579156020,162.09,162.17,162.05,162.11,210.99099,1579156199999,162.11,True,161.09082904236158,161.0697900756011,162.48117095763843,162.4422099243989,162.09,-48.26944666620189,-47.834856824909906
1579156200,162.11,162.15,162.07,162.08,256.72115,1579156379999,162.08,True,161.10351060444557,161.09082904236158,162.51348939555444,162.48117095763843,162.11,-48.26944666620189,-47.834856824909906
1579156380,162.08,162.09,161.79,161.8,345.12961,1579156559999,161.8,True,161.1487108382067,161.10351060444557,162.5042891617933,162.51348939555444,162.08,-48.26944666620189,-47.834856824909906
1579156560,161.8,161.91,161.77,161.89,96.66464,1579156739999,161.89,True,161.2690951002527,161.1487108382067,162.45290489974732,162.5042891617933,161.8,-48.26944666620189,-47.834856824909906
1579156740,161.87,161.87,161.7,161.85,153.21886,1579156919999,161.85,True,161.40623218506127,161.2690951002527,162.3787678149387,162.45290489974732,161.89,-48.26944666620189,-47.834856824909906
1579156920,161.85,162.31,161.85,162.28,528.65327,1579157099999,162.28,True,161.4668054019535,161.40623218506127,162.4001945980465,162.3787678149387,161.85,-48.26944666620189,-47.834856824909906
1579157100,162.29,162.6,162.14,162.29,1133.30948,1579157279999,162.29,True,161.45849373460078,161.4668054019535,162.45250626539922,162.4001945980465,162.28,-48.26944666620189,-47.834856824909906
1579157280,162.33,162.37,162.14,162.14,360.99843,1579157459999,162.14,True,161.4590045863659,161.45849373460078,162.45099541363408,162.45250626539922,162.29,-48.26944666620189,-47.834856824909906
1579157460,162.14,162.24,162.05,162.19,178.06138,1579157639999,162.19,True,161.46575464711847,161.4590045863659,162.43724535288155,162.45099541363408,162.14,-48.26944666620189,-47.834856824909906
1579157640,162.19,162.34,162.14,162.34,155.90365,1579157819999,162.34,True,161.44480535476896,161.46575464711847,162.48119464523108,162.43724535288155,162.19,-48.26944666620189,-47.834856824909906
1579157820,162.34,162.4,162.02,162.19,426.65744,1579157999999,162.19,True,161.44927006861127,161.44480535476896,162.50672993138875,162.48119464523108,162.34,-48.26944666620189,-47.834856824909906
1579158000,162.15,162.19,161.84,161.96,1645.3063,1579158179999,161.96,True,161.47008306188678,161.44927006861127,162.50491693811324,162.50672993138875,162.19,-48.542236969253324,-48.26944666620189
1579158180,161.94,161.96,161.39,161.52,1033.18268,1579158359999,161.52,True,161.4120797048144,161.47008306188678,162.5349202951856,162.50491693811324,161.96,-48.542236969253324,-48.26944666620189
1579158360,161.52,161.72,161.45,161.6,661.92909,1579158539999,161.6,True,161.36315766428376,161.4120797048144,162.54684233571626,162.5349202951856,161.52,-48.542236969253324,-48.26944666620189
1579158540,161.6,161.67,161.39,161.59,762.07242,1579158719999,161.59,True,161.40119278657215,161.36315766428376,162.52380721342786,162.54684233571626,161.6,-48.542236969253324,-48.26944666620189
